formula,Property band_gap,Property band_gap units,Property SMILES
GdCoO$_{3}$,0.17539999999999978,eV/atom,
PrPt,0.0,eV/atom,
Tl$_{2}$SeO$_{4}$,3.3122,eV/atom,
Ba$_{5}$(InSb$_{3}$)$_{2}$,0.0,eV/atom,
NiP$_{2}$,0.5442,eV/atom,
Ga$_{2}$AsRh$_{5}$,0.0,eV/atom,
KUClO$_{3}$,1.7303000000000002,eV/atom,
Y$_{2}$Ge$_{5}$Ir$_{3}$,0.0,eV/atom,
Dy(TiGa$_{2}$)$_{2}$,0.0,eV/atom,
CsSmZnTe$_{3}$,1.6885,eV/atom,
LiEu$_{2}$Ge$_{3}$,0.0,eV/atom,
CS$_{3}$N$_{4}$,1.9381,eV/atom,N#CN=S1SNSN1
Cl$_{2}$,2.2452,eV/atom,[Cl]
Nb$_{3}$Cr,0.0,eV/atom,
SmCdGa,0.0,eV/atom,
TmTlSe$_{2}$,2.105,eV/atom,
Ba(TeO$_{3}$)$_{2}$,1.7482000000000002,eV/atom,
CsMnCl$_{3}$,1.4873,eV/atom,
Al$_{7}$(TlS$_{4}$)$_{3}$,2.7930000000000006,eV/atom,
TaFe$_{2}$,0.0,eV/atom,
SbO$_{2}$,1.9056999999999995,eV/atom,
CeAlPd,0.0,eV/atom,
SiO$_{2}$,1.36,eV/atom,
Sm$_{5}$Br$_{11}$,0.0,eV/atom,
CrB$_{4}$,0.0,eV/atom,
SnPO$_{3}$,0.6438999999999999,eV/atom,
NaCa$_{2}$TiSi$_{2}$O$_{8}$F,3.7375,eV/atom,
Cu$_{5}$Bi$_{2}$(B$_{2}$O$_{7}$)$_{2}$,0.03869999999999996,eV/atom,
Ti$_{3}$Si,0.0,eV/atom,
DyCuAs$_{2}$,0.0,eV/atom,
Eu$_{8}$C$_{4}$I$_{9}$N$_{7}$,0.6649000000000003,eV/atom,
Eu$_{2}$Cu$_{6}$P$_{5}$,0.0,eV/atom,
Sr$_{2}$Ru$_{3}$O$_{10}$,0.0,eV/atom,
NaPrTe$_{2}$,1.0596999999999999,eV/atom,
PrSbSe,0.23859999999999992,eV/atom,
LaCuS$_{2}$,1.2324000000000002,eV/atom,
TiS$_{2}$,0.03840000000000021,eV/atom,
MnH$_{2}$(SeO$_{4}$)$_{2}$,2.1118,eV/atom,
RbI,3.777,eV/atom,
LiLa$_{4}$AuO$_{8}$,1.6583000000000006,eV/atom,
CeCoGe,0.0013999999999994017,eV/atom,
Li$_{5}$AlO$_{4}$,4.662000000000001,eV/atom,
TaAg$_{7}$S$_{6}$,0.5110000000000001,eV/atom,
Ti(NO$_{3}$)$_{4}$,2.8211,eV/atom,
HoNi$_{5}$,0.0,eV/atom,
Th(CuSn)$_{2}$,0.0,eV/atom,
Cs$_{2}$PtBr$_{6}$,1.433,eV/atom,
YbNiGe$_{2}$,0.0,eV/atom,
RbAg(NO$_{3}$)$_{2}$,2.4757,eV/atom,
Cr(ClO)$_{2}$,2.42,eV/atom,
Ca$_{3}$In$_{2}$(SiO$_{4}$)$_{3}$,3.668,eV/atom,
SiRh,0.0,eV/atom,
Mn$_{3}$B$_{7}$IO$_{13}$,3.7514,eV/atom,
Cu$_{5}$Si$_{2}$S$_{7}$,0.0,eV/atom,
Sr$_{2}$YCu$_{3}$(PbO$_{4}$)$_{2}$,0.0,eV/atom,
Na$_{2}$InNiF$_{7}$,4.1625,eV/atom,
Ce$_{2}$In$_{5}$Pd$_{4}$,0.0,eV/atom,
Mn(GaS$_{2}$)$_{2}$,0.41090000000000027,eV/atom,
KU$_{2}$(PO$_{4}$)$_{3}$,0.008500000000000174,eV/atom,
CrAs,0.0,eV/atom,
Ba$_{2}$Cu(PO$_{4}$)$_{2}$,0.25849999999999995,eV/atom,
Na$_{3}$LiBe$_{2}$F$_{8}$,6.9864,eV/atom,
ErCd$_{2}$Cu,0.0,eV/atom,
TmGePt,0.0,eV/atom,
AgAsS$_{2}$,1.5178999999999996,eV/atom,
SrSnO$_{3}$,0.9698000000000002,eV/atom,
ScMnO$_{3}$,0.0,eV/atom,
Eu$_{2}$ZnGe$_{3}$,0.0,eV/atom,
Mn$_{2}$O$_{5}$,0.0,eV/atom,
K$_{3}$Nb$_{2}$S$_{11}$,1.4262000000000001,eV/atom,
La$_{21}$Fe$_{8}$Bi$_{7}$C$_{12}$,0.0,eV/atom,
ScTe,0.0,eV/atom,
Yb$_{3}$GaC,0.0,eV/atom,
