formula,Property Band Gap,Property Band Gap units,Property Band gap,Property Band gap units,Temperature (Property Band gap),Temperature (Property Band gap) units,Property Color,Temperature (Property Color),Temperature (Property Color) units
Bi$_{2}$Te$_{3}$,,,0.153,eV,300,K,,,
Mg$_{2}$Ge,,,0.567,eV,77,K,,,
CoSi,,,0.045,eV,300,K,,,
NaBr,,,7.025,eV,77,K,,,
Ca$_{2}$Sn,,,0.9,eV,300,K,,,
As$_{2}$S$_{3}$,,,2.57,eV,90,K,,,
ZnO,,,3.35,eV,300,K,,,
Cu$_{2}$Se,,,1.23,eV,293,K,,,
GeTe,,,0.7,eV,295,K,,,
CaF$_{2}$,,,10,eV,300,K,,,
DyN,,,2.1,eV,300,K,,,
Sb$_{2}$Se$_{3}$,,,1.15,eV,300,K,,,
InAs,,,0.404,eV,80,K,Dark Gray,80,K
CdI$_{2}$,,,3.2,eV,300,K,,,
La$_{2}$S$_{3}$,,,1.32,eV,300,K,Red-Yellow,300,K
Mg$_{3}$Sb$_{2}$,,,0.82,eV,,,,,
Cu$_{2}$Te,,,1.15,eV,80,K,,,
PbTe,,,0.19,eV,,,,,
CdSb,,,0.465,eV,300,K,,,
CaO,,,6.1,eV,300,K,White,300,K
As$_{2}$S$_{3}$,,,2,eV,300,K,,,
Mg$_{2}$Ge,,,0.57,eV,77,K,,,
CaS,,,6.0$\pm$0.2,eV,300,K,,,
Eu$_{3}$As$_{2}$,,,0.6,eV,300,K,,,
AgBr,,,2.676,eV,77,K,,,
ZnTe,,,2.35,eV,77,K,,,
ZrSe$_{3}$,,,1.25,eV,300,K,Dark Gray,300,K
Cr$_{3}$Se$_{4}$,,,0.015,eV,300,K,,,
HgS,,,0.7,eV,300,K,,,
Cr$_{2}$O$_{3}$,,,1.68,eV,300,K,,,
GeSe$_{2}$,,,2.69,eV,,,Yellow-Orange,,
GeAs$_{2}$,,,1$\pm$0.1,eV,300,K,,,
LaB$_{6}$,,,4.1,eV,300,K,,,
MgO,,,7.77,eV,295,K,,,
As$_{2}$S$_{3}$,,,2.8,eV,300,K,,,
CdSb,,,0.585,eV,78,K,,,
As$_{2}$S$_{3}$,,,2.32,eV,300,K,,,
Ag$_{2}$Te,,,0.28,eV,300,K,,,
As$_{2}$Se$_{3}$,,,1.1,eV,300,K,,,
NaI,,,5.8,eV,80,K,,,
CdAs$_{2}$,,,1,eV,297,K,,,
InSb,,,0.234,eV,4.2,K,,,
GeAs,,,0.65$\pm$0.05,eV,300,K,,,
CaO,,,7.03,eV,300,K,,,
GeS,,,1.58,eV,300,K,,,
AlAs,,,2.205,eV,145,K,,,
Bi$_{2}$Te$_{3}$,,,0.145,eV,300,K,,,
As$_{4}$S$_{4}$,,,2.4,eV,300,K,,,
SmSe,,,0.46,eV,300,K,,,
CdO,,,2.3,eV,300,K,,,
Cu$_{2}$S,,,1.05,eV,300,K,,,
SnCl$_{2}$,,,3.9,eV,300,K,,,
RbI,,,6.37,eV,10,K,,,
GeTe$_{2}$,,,0.3,eV,293,K,,,
